_id,url,x,y,z,itemType,serverType
1,9265f96f54b78885c46e7d2f86b1c1dbfe643c6060fc7fcc9834c3e3fd595135,43.13005921622691,75.1118727240194,-122.24967766591506,WHEAT_CRYSTAL,HUB
2,9265f96f54b78885c46e7d2f86b1c1dbfe643c6060fc7fcc9834c3e3fd595135,28.31150256073339,75.48551224990652,-140.6871747405607,WHEAT_CRYSTAL,HUB
3,9265f96f54b78885c46e7d2f86b1c1dbfe643c6060fc7fcc9834c3e3fd595135,63.414336674908704,76.97180664240655,-134.42058576459584,WHEAT_CRYSTAL,HUB
4,9265f96f54b78885c46e7d2f86b1c1dbfe643c6060fc7fcc9834c3e3fd595135,73.69529306049547,79.21654074104354,-160.75138423775255,WHEAT_CRYSTAL,HUB
5,9265f96f54b78885c46e7d2f86b1c1dbfe643c6060fc7fcc9834c3e3fd595135,59.50817153963336,79.21654074104354,-182.6970617412972,WHEAT_CRYSTAL,HUB
6,9265f96f54b78885c46e7d2f86b1c1dbfe643c6060fc7fcc9834c3e3fd595135,23.69214972882618,77.72147472159656,-178.00258311237133,WHEAT_CRYSTAL,HUB
7,9265f96f54b78885c46e7d2f86b1c1dbfe643c6060fc7fcc9834c3e3fd595135,-7.1,78.1,-27.1,FLOWER_CRYSTAL,HUB
8,9265f96f54b78885c46e7d2f86b1c1dbfe643c6060fc7fcc9834c3e3fd595135,134.8683294293372,78.83531391075113,-212.77871289031293,WHEAT_CRYSTAL,THE_FARMING_ISLANDS
9,9265f96f54b78885c46e7d2f86b1c1dbfe643c6060fc7fcc9834c3e3fd595135,118.09829197561052,78.0854154409095,-221.89615973940928,WHEAT_CRYSTAL,THE_FARMING_ISLANDS
10,9265f96f54b78885c46e7d2f86b1c1dbfe643c6060fc7fcc9834c3e3fd595135,179.6704613500174,82.90219669149552,-216.48506739711638,PUMPKIN_AND_MELON_CRYSTAL,THE_FARMING_ISLANDS
11,9265f96f54b78885c46e7d2f86b1c1dbfe643c6060fc7fcc9834c3e3fd595135,168.39194062684598,90.78562053479897,-269.59782005232177,POTATO_CRYSTAL,THE_FARMING_ISLANDS
12,9265f96f54b78885c46e7d2f86b1c1dbfe643c6060fc7fcc9834c3e3fd595135,132.578203624726,91.16748587959599,-284.62450974516634,CARROT_CRYSTAL,THE_FARMING_ISLANDS
